P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method
Kepler-58 b,Hot,Neptunian,rocky-iron,hydrogen-rich,non-habitable,441.94,2.8,20.13,56.37,12.56,135.2354,135.2354,135.2354,868.8,868.8,868.8,8897.0,-24.77,5.32,10.22,0.0906,0.0,0.09,0.0,Cyg,G,0.95,1.03,5843.0,1.10945,-0.06071394910461842,4.205140795802378,15.3,608.4120264650286,19.7572,39.1153,-32.1,6.063,3,0,0.787,1.8519999999999999,-2.31,-0.6,6.51,0.13,0.23,0,0,0,1,Primary Transit
Kepler-58 c,Hot,Neptunian,rocky-iron,hydrogen-rich,non-habitable,696.29,2.91,28.2,82.11,15.46,77.1022,77.10221,77.10221999999999,754.9,754.9,754.9,19633.8,-24.25,5.54,15.57,0.12,0.0,0.12,0.0,Cyg,G,0.95,1.03,5843.0,1.10945,-0.06071394910461842,4.205140795802378,15.3,608.4120264650286,19.7572,39.1153,-31.5,4.5771,3,0,0.787,1.8519999999999999,-2.25,-0.39,9.15,0.1,0.23,0,0,0,1,Primary Transit
Kepler-58 d,Hot,Neptunian,gas,metals-rich,non-habitable,4.92,2.93,0.19,0.57,1.29,19.91974,19.91974,19.91975,538.2,538.2,538.2,1.0,-22.79,5.58,40.1,0.23600000000000002,0.0,0.24,0.0,Cyg,G,0.95,1.03,5843.0,1.10945,-0.06071394910461842,4.205140795802378,15.3,608.4120264650286,19.7572,39.1153,-30.0,2.326,3,0,0.787,1.8519999999999999,-2.04,2.52,-0.65,0.23,0.27,0,0,0,1,Primary Transit
Kepler-59 b,Hot,Terran,iron,hydrogen-rich,non-habitable,651.78,1.1,492.91,541.02,24.37,101.4281,101.4281,101.4281,808.5,808.5,808.5,321266.8,-22.42,2.09,11.87,0.1031,0.0,0.1,0.0,Lyr,F,1.04,0.94,6074.0,1.079058,-0.06071394910461842,4.205140795802378,14.8,608.4120264650286,19.1358,46.64,-31.8,4.8582,2,0,0.7659999999999999,1.791,-2.29,-2.12,14.84,0.06,0.31,0,0,0,1,Primary Transit
Kepler-59 c,Hot,Superterran,iron,hydrogen-rich,non-habitable,435.58,2.02,53.16,107.17,14.7,58.29255,58.29255,58.292559999999995,704.0,704.0,704.0,23155.8,-23.14,3.83,17.98,0.1361,0.0,0.14,0.0,Lyr,F,1.04,0.94,6074.0,1.079058,-0.06071394910461842,4.205140795802378,14.8,608.4120264650286,19.1358,46.64,-31.2,3.6825,2,0,0.7659999999999999,1.791,-2.23,-1.34,8.98,0.1,0.28,0,0,0,1,Primary Transit
Kepler-60 b,Hot,Terran,rocky-water,metals-rich,non-habitable,4.19,1.71,0.83,1.43,1.56,439.6593,439.6593,439.6595,1166.6,1166.6,1166.6,3.5,-24.99,3.26,7.13,0.075,0.0,0.07,0.0,Lyr,G,1.1,1.5,5915.0,2.4711060000000002,-0.06071394910461842,4.205140795802378,14.5,608.4120264650286,19.2642,42.265,-33.4,10.677999999999999,3,0,1.17,2.747,-2.39,0.14,-0.84,0.28,0.27,0,0,0,1,Primary Transit
Kepler-60 c,Hot,Terran,rocky-water,metals-rich,non-habitable,3.85,1.9,0.56,1.06,1.42,326.4021,326.4021,326.4022,1082.9,1082.9,1082.9,2.1,-24.89,3.62,8.92,0.087,0.0,0.09,0.0,Lyr,G,1.1,1.5,5915.0,2.4711060000000002,-0.06071394910461842,4.205140795802378,14.5,608.4120264650286,19.2642,42.265,-33.0,9.197000000000001,3,0,1.17,2.747,-2.37,0.65,-0.89,0.28,0.26,0,0,0,1,Primary Transit
Kepler-60 d,Hot,Terran,rocky-water,metals-rich,non-habitable,4.17,1.99,0.53,1.05,1.45,222.1013,222.1013,222.1013,983.5,983.5,983.5,2.2,-24.57,3.79,11.9,0.1055,0.0,0.11,0.0,Lyr,G,1.1,1.5,5915.0,2.4711060000000002,-0.06071394910461842,4.205140795802378,14.5,608.4120264650286,19.2642,42.265,-32.6,7.584,3,0,1.17,2.747,-2.35,0.75,-0.84,0.28,0.26,0,0,0,1,Primary Transit
Kepler-61 b,Warm,Superterran,rocky-iron,hydrogen-rich,mesoplanet,13.85,2.15,1.39,2.99,2.54,0.7885342,1.272237,2.1899319999999998,240.1,267.3,309.9,19.3,-19.14,4.09,59.88,0.27,0.25,0.26,0.0,Cyg,K7V,0.64,0.62,4017.0,0.089801,0.03,1.0,15.0,326.0,19.6869,42.4753,-27.0,1.2639,1,1,0.243,0.614,-0.84,-0.13,1.24,0.4,0.73,0,1,0,1,Primary Transit
Kepler-62 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.17,1.31,0.96,1.26,1.29,65.44549,65.4455,65.44551,724.6,724.6,724.6,2.1,-22.32,2.49,5.71,0.0553,0.0,0.06,0.0,Lyr,K2V,0.69,0.63,4869.0,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-31.3,6.074,5,2,0.353,0.857,-2.18,-0.16,-0.81,0.3,0.31,0,0,0,1,Primary Transit
Kepler-62 c,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.12,0.54,0.76,0.41,0.47,23.18988,23.18989,23.18989,559.1,559.1,559.1,0.1,-19.25,1.02,12.44,0.0929,0.0,0.09,0.0,Lyr,K2V,0.69,0.63,4869.0,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-30.2,3.6146,5,2,0.353,0.857,-2.03,-0.19,-1.35,0.29,0.32,0,0,0,1,Primary Transit
Kepler-62 d,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.29,1.95,1.26,2.45,2.18,13.898489999999999,13.898489999999999,13.898489999999999,491.9,491.9,491.9,11.7,-21.5,3.7,18.16,0.12,0.0,0.12,0.0,Lyr,K2V,0.69,0.63,4869.0,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-29.6,2.7981,5,2,0.353,0.857,-1.92,-0.14,0.17,0.34,0.35,0,0,0,1,Primary Transit
Kepler-62 e,Warm,Superterran,rocky-iron,metals-rich,mesoplanet,4.54,1.61,1.08,1.74,1.68,1.097676,1.097676,1.097677,260.8,260.8,260.8,4.9,-18.32,3.07,122.39,0.42700000000000005,0.0,0.43,0.0,Lyr,K2V,0.69,0.63,4869.0,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-26.8,0.7863,5,2,0.353,0.857,-0.7,-0.15,0.28,0.56,0.83,0,1,0,1,Primary Transit
Kepler-62 f,Warm,Terran,rocky-iron,metals-rich,psychroplanet,2.81,1.41,1.0,1.41,1.41,0.388223,0.388223,0.388223,201.1,201.1,201.1,2.8,-16.89,2.68,267.29,0.718,0.0,0.72,0.0,Lyr,K2V,0.69,0.63,4869.0,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-25.7,0.4676,5,2,0.353,0.857,0.45,-0.16,0.19,0.66,0.67,0,1,0,1,Primary Transit
Kepler-63 b,Hot,Jovian,gas,metals-rich,non-habitable,45.39,6.1,0.2,1.22,2.73,110.0146,110.0146,110.0147,825.1,825.1,825.1,9.1,-26.25,11.62,9.43,0.08,0.0,0.08,0.0,Cyg,G,0.98,0.9,5576.0,0.704094,0.05,4.205140795802378,12.0,200.0,19.2817,49.5482,-31.9,6.0047,1,0,0.637,1.51,-2.28,3.99,0.11,0.18,0.14,0,0,0,1,Primary Transit
Kepler-64(AB) b,Hot,Jovian,gas,hydrogen-rich,non-habitable,168.51,6.19,0.71,4.39,5.22,31.079520000000002,34.568659999999994,38.56351,601.5,617.4,634.9,119.5,-25.02,11.79,138.51,0.634,0.05,0.63,348.0,Cyg,F+M,1.93,1.7,7300.0,13.87488,-0.06071394910461842,4.205140795802378,12.237222991689753,608.4120264650286,19.8811,39.955,-30.6,1.4311,1,0,2.583,5.952999999999999,-2.16,2.82,2.33,0.19,0.16,0,0,0,1,Primary Transit
Kepler-65 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,2.78,1.41,1.0,1.4,1.41,2050.423,2133.645,2221.177,1714.4,1731.4,1749.0,2.8,-26.28,2.68,2.15,0.035,0.02,0.03,0.0,Lyr,B,1.2,1.4,6211.0,2.6131919999999997,0.17,3.89,11.0,312.43,19.2458,41.1511,-35.1,21.4304,3,0,1.182,2.7560000000000002,-2.46,-0.16,-1.08,0.27,0.28,0,0,0,1,Primary Transit
Kepler-65 c,Hot,Neptunian,rocky-iron,metals-rich,non-habitable,26.71,2.57,1.57,4.05,3.22,484.5498,566.9539,667.6945,1195.3,1241.7,1295.1,42.1,-26.15,4.88,5.86,0.068,0.08,0.07,0.0,Lyr,B,1.2,1.4,6211.0,2.6131919999999997,0.17,3.89,11.0,312.43,19.2458,41.1511,-33.7,11.0162,3,0,1.182,2.7560000000000002,-2.41,-0.01,0.04,0.29,0.23,0,0,0,1,Primary Transit
Kepler-65 d,Hot,Terran,rocky-iron,metals-rich,non-habitable,3.53,1.51,1.04,1.56,1.53,306.1026,372.2162,457.2226,1065.6,1116.9,1178.1,3.7,-24.53,2.86,8.13,0.084,0.1,0.08,0.0,Lyr,B,1.2,1.4,6211.0,2.6131919999999997,0.17,3.89,11.0,312.43,19.2458,41.1511,-33.2,8.9293,3,0,1.182,2.7560000000000002,-2.39,-0.15,-0.84,0.28,0.28,0,0,0,1,Primary Transit
Kepler-66 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.24,2.8,0.19,0.54,1.23,57.87069,57.8707,57.8707,702.7,702.7,702.7,0.8,-23.85,5.32,17.82,0.1352,0.0,0.14,0.0,Cyg,GOV,1.04,0.97,5962.0,1.057821,0.012,1.0,15.3,1107.0,19.5989,46.6878,-31.2,3.8084,1,0,0.763,1.79,-2.22,2.48,-0.83,0.23,0.24,0,0,0,1,Primary Transit
Kepler-67 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.8,2.91,0.19,0.57,1.28,31.986729999999998,31.98674,31.98674,605.9,605.9,605.9,0.9,-23.29,5.54,15.73,0.1171,0.0,0.12,0.0,Cyg,G9V,0.86,0.78,5331.0,0.438615,0.012,1.0,16.4,1107.0,19.6103,46.1664,-30.5,3.5412,1,0,0.51,1.218,-2.11,2.51,-0.72,0.23,0.25,0,0,0,1,Primary Transit
Kepler-68 b,Hot,Superterran,rocky-water,metals-rich,non-habitable,5.98,2.31,0.49,1.12,1.61,394.1705,410.1689,426.9959,1135.2,1146.4,1158.1,2.9,-25.56,4.39,5.4,0.0617,0.02,0.06,0.0,Cyg,G,1.08,1.24,5793.0,1.561156,0.12,6.3,12.237222991689753,135.0,19.4022,49.0403,-33.3,10.754000000000001,3,1,0.937,2.206,-2.38,0.98,-0.81,0.27,0.24,0,0,0,1,Primary Transit
Kepler-68 c,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.67,0.93,0.85,0.79,0.85,94.37095,209.6183,565.4962,794.1,935.3,1242.4,0.6,-22.94,1.76,9.6,0.0906,0.42,0.08,0.0,Cyg,G,1.08,1.24,5793.0,1.561156,0.12,6.3,12.237222991689753,135.0,19.4022,49.0403,-32.7,8.064,3,1,0.937,2.206,-2.33,-0.18,-1.21,0.28,0.3,0,0,0,1,Primary Transit
Kepler-68 d,Warm,Jovian,gas,hydrogen-rich,non-habitable,267.07,9.94,0.27,2.7,5.18,0.5721274000000001,0.8097342,1.184575,221.6,240.2,265.8,72.6,-21.97,18.98,625.0,1.4,0.18,1.38,0.0,Cyg,G,1.08,1.24,5793.0,1.561156,0.12,6.3,12.237222991689753,135.0,19.4022,49.0403,-26.5,0.48100000000000004,3,1,0.937,2.206,-0.26,6.23,4.7,0.11,0.48,0,0,0,1,Radial Velocity
Kepler-69 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,16.11,2.23,1.45,3.24,2.69,65.95454000000001,89.89426,125.7598,726.0,780.7,853.2,23.4,-23.84,4.24,13.72,0.094,0.16,0.09,0.0,Cyg,G4V,0.81,0.93,5638.0,0.784072,-0.29,4.205140795802378,13.7,608.4120264650286,19.5508,44.8689,-31.7,5.3432,2,0,0.67,1.585,-2.26,-0.12,0.12,0.31,0.26,0,0,0,1,Primary Transit
Kepler-69 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.68,1.71,1.13,1.93,1.82,1.473127,1.9332790000000002,2.5882080000000003,280.7,299.3,323.1,6.4,-19.08,3.26,242.46,0.64,0.14,0.63,0.0,Cyg,G4V,0.81,0.93,5638.0,0.784072,-0.29,4.205140795802378,13.7,608.4120264650286,19.5508,44.8689,-27.5,0.7821,2,0,0.67,1.585,-1.06,-0.15,0.3,0.47,0.71,0,0,0,1,Primary Transit
Kepler-70  b,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.45,0.76,1.01,0.77,0.76,607265.9,607266.0,607266.1,7112.0,7112.0,7112.0,0.4,-31.11,1.45,0.24,0.006,0.0,0.01,0.0,Cyg,sdB,0.5,0.2,27730.0,21.861576,-0.06071394910461842,0.018000000000000002,14.9,1180.0,19.7569,41.0928,-41.3,18.1056,2,0,3.242,7.472,-2.53,-0.4,-1.55,0.25,0.29,0,0,0,1,Imaging
Kepler-70 c,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.67,0.87,1.0,0.87,0.87,378489.8,378489.9,378489.9,6319.1,6319.1,6319.1,0.7,-30.89,1.66,0.34,0.0076,0.0,0.01,0.0,Cyg,sdB,0.5,0.2,27730.0,21.861576,-0.06071394910461842,0.018000000000000002,14.9,1180.0,19.7569,41.0928,-40.7,14.2713,2,0,3.242,7.472,-2.53,-0.36,-1.52,0.25,0.29,0,0,0,1,Imaging
Kepler-74 b,Hot,Jovian,gas,metals-rich,non-habitable,216.2,14.78,0.07,0.99,3.82,79.42588,137.3057,258.7275,760.6,858.3,1021.8,14.5,-28.47,28.38,7.34,0.084,0.29,0.08,64.0,Cyg,F8V,1.02,0.91,5945.0,0.928069,0.34,2.9,14.2,1330.0,19.5394,41.3556,-32.1,6.0296,1,0,0.716,1.679,-2.31,11.09,0.76,0.08,0.07,0,0,0,1,Primary Transit
Kepler-75 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3147.61,11.54,2.05,23.65,16.52,35.603840000000005,106.5453,471.6606,622.3,762.3,1187.3,6453.5,-27.82,22.06,8.88,0.08,0.57,0.07,63.6,Lyr,G8V,0.88,0.88,5330.0,0.560743,-0.07,6.0,15.0,1140.0,19.4092,36.5775,-32.0,7.1332,1,0,0.5770000000000001,1.3769999999999998,-2.23,11.23,9.16,0.06,0.09,0,0,0,1,Primary Transit
Kepler-76 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,623.16,14.0,0.23,3.18,6.67,2261.3720000000003,2261.3720000000003,2261.3720000000003,1756.9,1756.9,1756.9,141.5,-31.36,26.85,1.54,0.027999999999999997,0.0,0.03,0.0,Cyg,F,1.2,1.12,6300.0,1.7729150000000002,-0.1,4.205140795802378,14.0,608.4120264650286,19.6128,39.6189,-35.2,21.4415,1,0,0.968,2.254,-2.46,9.98,1.35,0.09,0.06,0,0,0,1,Primary Transit
Kepler-77 b,Hot,Jovian,gas,metals-rich,non-habitable,136.71,10.75,0.11,1.18,3.57,402.9939,402.994,402.9941,1141.5,1141.5,1141.5,15.0,-28.9,20.54,3.58,0.045,0.0,0.05,0.0,Cyg,G5V,0.95,0.99,5520.0,0.816426,0.2,7.5,15.0,570.0,19.3072,44.3454,-33.3,11.7421,1,0,0.688,1.6340000000000001,-2.36,7.63,0.31,0.11,0.08,0,0,0,1,Primary Transit
Kepler-78 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.6,1.2,0.93,1.11,1.15,3295.21,3295.21,3295.211,1930.3,1930.3,1930.3,1.5,-26.41,2.28,0.36,0.01,0.0,0.01,0.0,Cyg,G,0.81,0.74,5089.0,0.329521,-0.14,4.205140795802378,12.0,608.4120264650286,19.5828,44.4483,-35.6,40.2589,1,0,0.44799999999999995,1.079,-2.39,-0.17,-1.22,0.27,0.29,0,0,0,1,Primary Transit
Kepler-79 b,Hot,Neptunian,gas,metals-rich,non-habitable,10.9,3.47,0.26,0.91,1.77,129.5551,133.4839,137.5649,859.5,865.9,872.5,2.9,-25.23,6.59,13.48,0.11699999999999999,0.01,0.12,0.0,Cyg,F,1.18,1.1,6405.0,1.8270549999999999,-0.06071394910461842,3.44,14.1,608.4120264650286,20.0345,44.3816,-32.1,5.0125,4,0,0.977,2.27,-2.33,2.29,-0.56,0.23,0.2,0,0,0,1,Primary Transit
Kepler-79 c,Hot,Superterran,gas,metals-rich,non-habitable,5.9,3.72,0.11,0.43,1.26,49.25006,52.271390000000004,55.52966,674.9,684.9,695.5,0.7,-24.36,7.07,27.4,0.187,0.03,0.19,0.0,Cyg,F,1.18,1.1,6405.0,1.8270549999999999,-0.06071394910461842,3.44,14.1,608.4120264650286,20.0345,44.3816,-31.0,3.1366,4,0,0.977,2.27,-2.22,3.78,-0.8,0.18,0.21,0,0,0,1,Primary Transit
Kepler-79 d,Hot,Superterran,gas,metals-rich,non-habitable,6.0,7.17,0.02,0.12,0.91,21.11305,22.18828,23.33344,546.1,552.9,559.9,0.1,-24.85,13.65,52.09,0.287,0.03,0.29,0.0,Cyg,F,1.18,1.1,6405.0,1.8270549999999999,-0.06071394910461842,3.44,14.1,608.4120264650286,20.0345,44.3816,-30.1,2.0433,4,0,0.977,2.27,-2.07,10.53,-0.98,0.08,0.16,0,0,0,1,Primary Transit
Kepler-79 e,Hot,Terran,gas,metals-rich,non-habitable,4.1,3.49,0.1,0.34,1.08,11.973510000000001,12.26333,12.56213,473.9,476.7,479.6,0.4,-22.64,6.64,81.07,0.386,0.01,0.39,0.0,Cyg,F,1.18,1.1,6405.0,1.8270549999999999,-0.06071394910461842,3.44,14.1,608.4120264650286,20.0345,44.3816,-29.5,1.5188,4,0,0.977,2.27,-1.91,4.04,-0.77,0.18,0.28,0,0,0,1,Primary Transit
Kepler-80 b,Hot,Superterran,rocky-water,metals-rich,non-habitable,6.93,2.35,0.53,1.25,1.72,40.832209999999996,40.832209999999996,40.83222,644.0,644.0,644.0,3.7,-23.09,4.47,7.05,0.0645,0.0,0.06,0.0,Cyg,K,0.72,0.65,4613.0,0.170072,-0.56,4.205140795802378,15.0,608.4120264650286,19.7408,39.9789,-30.8,5.3445,5,0,0.32799999999999996,0.807,-2.1,0.89,-0.42,0.3,0.27,0,0,0,1,Primary Transit
Kepler-80 c,Hot,Superterran,water-gas,metals-rich,non-habitable,6.74,2.58,0.39,1.02,1.62,27.35724,27.35725,27.357259999999997,582.7,582.7,582.7,2.7,-22.85,4.9,9.52,0.0788,0.0,0.08,0.0,Cyg,K,0.72,0.65,4613.0,0.170072,-0.56,4.205140795802378,15.0,608.4120264650286,19.7408,39.9789,-30.3,4.3741,5,0,0.32799999999999996,0.807,-2.04,1.35,-0.43,0.29,0.27,0,0,0,1,Primary Transit
Kepler-80 d,Hot,Terran,rocky-iron,metals-rich,non-habitable,6.74,1.4,2.46,3.44,2.19,123.7097,123.7097,123.7098,849.7,849.7,849.7,16.6,-23.16,2.66,3.07,0.0371,0.0,0.04,0.0,Cyg,K,0.72,0.65,4613.0,0.170072,-0.56,4.205140795802378,15.0,608.4120264650286,19.7408,39.9789,-32.0,9.3095,5,0,0.32799999999999996,0.807,-2.22,-0.89,-0.27,0.29,0.29,0,0,0,1,Primary Transit
Kepler-80 e,Hot,Terran,rocky-iron,metals-rich,non-habitable,4.13,1.5,1.22,1.84,1.66,71.32323000000001,71.32324,71.32324,740.4,740.4,740.4,5.1,-22.71,2.85,4.64,0.0488,0.0,0.05,0.0,Cyg,K,0.72,0.65,4613.0,0.170072,-0.56,4.205140795802378,15.0,608.4120264650286,19.7408,39.9789,-31.4,7.0654,5,0,0.32799999999999996,0.807,-2.17,-0.31,-0.55,0.31,0.3,0,0,0,1,Primary Transit
Kepler-80 f,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.75,1.23,0.94,1.15,1.19,562.8943,562.8945,562.8945,1240.9,1240.9,1240.9,1.6,-24.54,2.34,0.99,0.0174,0.0,0.02,0.0,Cyg,K,0.72,0.65,4613.0,0.170072,-0.06071394910461842,4.205140795802378,14.8,608.4120264650286,19.7408,39.9788,-33.6,19.9367,5,0,0.32799999999999996,0.807,-2.3,-0.16,-1.08,0.28,0.29,0,0,0,1,Transit
kepler-80 g,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.31,1.13,0.91,1.02,1.08,8.133963,8.133963,8.133965,430.2,430.2,430.2,1.2,-19.73,2.15,14.65,0.14,0.0,0.14,0.0,Cyg,K,1.71,0.74,4250.0,0.159426,-0.56,4.205140795802378,15.0,608.4120264650286,19.7408,39.9789,-29.0,2.8095,1,0,0.322,0.805,-1.75,-0.17,-0.73,0.34,0.45,0,0,0,1,Primary Transit
Kepler-81 b,Hot,Superterran,gas,metals-rich,non-habitable,3.1,2.54,0.19,0.48,1.1,35.53229,35.53229,35.5323,622.0,622.0,622.0,0.6,-23.1,4.83,5.95,0.055999999999999994,0.0,0.06,0.0,Cyg,K,0.65,0.58,4391.0,0.111429,-0.2,4.205140795802378,15.6,608.4120264650286,19.5758,42.825,-30.6,5.5026,3,0,0.268,0.665,-2.07,2.41,-0.87,0.23,0.26,0,0,0,1,Primary Transit
Kepler-81 c,Hot,Superterran,rocky-iron,hydrogen-rich,non-habitable,24.53,2.45,1.67,4.09,3.16,14.067570000000002,14.067570000000002,14.06758,493.4,493.4,493.4,40.9,-22.01,4.66,12.04,0.08900000000000001,0.0,0.09,0.0,Cyg,K,0.65,0.58,4391.0,0.111429,-0.2,4.205140795802378,15.6,608.4120264650286,19.5758,42.825,-29.6,3.4615,3,0,0.268,0.665,-1.9,-0.11,1.02,0.32,0.32,0,0,0,1,Primary Transit
Kepler-81 d,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.65,1.21,0.93,1.12,1.17,6.801102,6.801102,6.8011029999999995,411.4,411.4,411.4,1.5,-19.68,2.3,20.84,0.128,0.0,0.13,0.0,Cyg,K,0.65,0.58,4391.0,0.111429,-0.2,4.205140795802378,15.6,608.4120264650286,19.5758,42.825,-28.8,2.4066,3,0,0.268,0.665,-1.7,-0.17,-0.62,0.35,0.47,0,0,0,1,Primary Transit
Kepler-82 b,Hot,Neptunian,gas,metals-rich,non-habitable,13.82,4.11,0.2,0.82,1.83,26.85967,26.859679999999997,26.859690000000004,580.0,580.0,580.0,2.8,-23.85,7.82,26.44,0.16899999999999998,0.0,0.17,0.0,Cyg,G,0.92,0.9,5700.0,0.767139,0.15,4.205140795802378,12.237222991689753,608.4120264650286,19.5249,42.9661,-30.3,2.8383,4,0,0.66,1.5590000000000002,-2.09,2.99,-0.26,0.21,0.22,0,0,0,1,Primary Transit
Kepler-82 c,Hot,Neptunian,gas,metals-rich,non-habitable,35.55,5.63,0.2,1.12,2.51,11.00693,11.00693,11.00694,464.0,464.0,464.0,7.1,-23.56,10.72,51.53,0.264,0.0,0.26,0.0,Cyg,G,0.92,0.9,5700.0,0.767139,0.15,4.205140795802378,12.237222991689753,608.4120264650286,19.5249,42.9661,-29.3,1.8168,4,0,0.66,1.5590000000000002,-1.88,3.75,0.52,0.19,0.23,0,0,0,1,Primary Transit
Kepler-82 d,Hot,Superterran,rocky-iron,metals-rich,non-habitable,6.4,1.77,1.16,2.05,1.9,663.6153,663.6154,663.6154,1293.1,1293.1,1293.1,7.4,-25.51,3.36,2.38,0.034,0.0,0.03,0.0,Cyg,G,0.92,0.9,5700.0,0.767139,0.15,4.205140795802378,12.237222991689753,608.4120264650286,19.5249,42.9661,-33.8,14.1425,4,0,0.66,1.5590000000000002,-2.39,-0.14,-0.71,0.29,0.27,0,0,0,1,Primary Transit
Kepler-82 e,Hot,Superterran,rocky-iron,metals-rich,non-habitable,25.16,2.46,1.68,4.14,3.2,193.2827,193.2828,193.2828,949.9,949.9,949.9,42.3,-24.88,4.68,5.9,0.063,0.0,0.06,0.0,Cyg,G,0.92,0.9,5700.0,0.767139,0.15,4.205140795802378,12.237222991689753,608.4120264650286,19.5249,42.9661,-32.5,7.6187,4,0,0.66,1.5590000000000002,-2.33,-0.11,0.27,0.3,0.24,0,0,0,1,Primary Transit
Kepler-83 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,19.94,2.34,1.55,3.64,2.92,12.88015,12.88015,12.88015,482.6,482.6,482.6,31.0,-21.82,4.45,9.77,0.078,0.0,0.08,0.0,Lyr,K,0.66,0.54,4164.0,0.078363,-0.2,4.205140795802378,16.5,608.4120264650286,18.8155,43.6656,-29.5,3.6832,3,0,0.226,0.568,-1.87,-0.12,0.84,0.33,0.33,0,0,0,1,Primary Transit
Kepler-83 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.15,1.94,1.25,2.43,2.17,4.93593,4.935931,4.935932,379.7,379.7,379.7,11.4,-20.36,3.69,20.09,0.126,0.0,0.13,0.0,Lyr,K,0.66,0.54,4164.0,0.078363,-0.2,4.205140795802378,16.5,608.4120264650286,18.8155,43.6656,-28.5,2.2798,3,0,0.226,0.568,-1.59,-0.14,0.42,0.38,0.48,0,0,0,1,Primary Transit
Kepler-83 d,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.09,1.94,1.25,2.42,2.17,30.127959999999998,30.12797,30.12797,596.9,596.9,596.9,11.3,-22.33,3.68,5.17,0.051,0.0,0.05,0.0,Lyr,K,0.66,0.54,4164.0,0.078363,-0.2,4.205140795802378,16.5,608.4120264650286,18.8155,43.6656,-30.4,5.6345,3,0,0.226,0.568,-2.03,-0.14,-0.02,0.33,0.3,0,0,0,1,Primary Transit
Kepler-84 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,15.26,2.2,1.43,3.15,2.63,182.6236,182.6236,182.6236,936.6,936.6,936.6,21.9,-24.58,4.18,8.73,0.083,0.0,0.08,0.0,Cyg,F,1.02,1.03,6015.0,1.258094,-0.2,4.205140795802378,15.0,608.4120264650286,19.8835,40.4961,-32.4,6.6491,5,0,0.83,1.943,-2.34,-0.13,-0.07,0.3,0.25,0,0,0,1,Primary Transit
Kepler-84 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,22.35,2.4,1.61,3.88,3.05,107.8613,107.8613,107.8613,821.0,821.0,821.0,36.1,-24.19,4.56,12.88,0.10800000000000001,0.0,0.11,0.0,Cyg,F,1.02,1.03,6015.0,1.258094,-0.2,4.205140795802378,15.0,608.4120264650286,19.8835,40.4961,-31.8,5.1088,5,0,0.83,1.943,-2.3,-0.12,0.33,0.3,0.25,0,0,0,1,Primary Transit
Kepler-84 d,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.58,1.38,0.99,1.36,1.37,465.2714,465.2715,465.2715,1183.2,1183.2,1183.2,2.5,-24.57,2.62,4.22,0.052000000000000005,0.0,0.05,0.0,Cyg,F,1.02,1.03,6015.0,1.258094,-0.2,4.205140795802378,15.0,608.4120264650286,19.8835,40.4961,-33.4,10.6223,5,0,0.83,1.943,-2.4,-0.16,-0.96,0.28,0.29,0,0,0,1,Primary Transit
