P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method
Kepler-413(AB) b,Hot,Neptunian,water-gas,hydrogen-rich,non-habitable,67.02,4.34,0.82,3.55,3.93,1.6711340000000001,2.1036639999999998,2.685886,289.7,306.0,326.1,54.8,-21.2,8.26,66.26,0.3553,0.12,0.35,94.6,Cyg,K,1.36,0.78,4700.0,0.263704,-0.06071394910461842,4.205140795802378,12.237222991689753,608.4120264650286,19.2342,51.1625,-27.5,1.1723,1,0,0.408,0.998,-1.18,1.49,2.6,0.24,0.49,0,0,0,1,Primary Transit
Kepler-418 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,349.73,13.44,0.14,1.94,5.1,5.905736,8.678175,13.28568,397.2,433.9,486.4,50.4,-25.22,25.76,86.68,0.3807,0.2,0.37,4.3,Cyg,G,0.98,1.09,5820.0,1.232016,-0.05,7.0,15.0,608.4120264650286,19.6289,38.3556,-29.1,1.5632,1,0,0.831,1.955,-1.8,9.43,2.97,0.09,0.17,0,0,0,1,Primary Transit
Kepler-419 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,861.62,12.43,0.45,5.57,8.33,5.832262,33.2218,574.7092,395.9,506.1,1247.4,386.4,-27.1,23.8,69.8,0.371,0.82,0.21,94.0,Cyg,F,1.22,1.4,6230.0,2.649098,0.0,2.8,14.0,608.4120264650286,19.6944,51.1847,-31.2,3.488,2,1,1.188,2.7710000000000004,-1.98,8.76,4.34,0.09,0.1,0,0,0,1,Primary Transit
Kepler-419 c,Warm,Jovian,gas,hydrogen-rich,non-habitable,2352.76,11.66,1.48,17.29,14.2,0.6741899,0.9541835999999999,1.395892,230.9,250.3,276.9,3488.1,-22.5,22.31,673.3,1.68,0.18,1.65,275.7,Cyg,F,1.22,1.4,6230.0,2.649098,0.0,2.8,14.0,608.4120264650286,19.6944,51.1847,-26.7,0.4515,2,1,1.188,2.7710000000000004,-0.37,10.17,15.54,0.05,0.39,0,0,1,1,TTV
Kepler-420 A b,Hot,Jovian,gas,hydrogen-rich,non-habitable,461.01,10.53,0.4,4.16,6.62,2.322413,11.46754,140.2189,314.5,400.0,876.7,182.1,-25.47,20.11,86.65,0.382,0.77,0.24,141.3,Cyg,G5V,0.99,1.13,5520.0,1.063661,0.27,9.3,12.237222991689753,900.0,19.415,44.5942,-29.9,2.4803,1,0,0.7859999999999999,1.865,-1.68,6.65,3.85,0.11,0.17,0,0,0,1,Primary Transit
Kepler-421 b,Cold,Neptunian,gas,metals-rich,non-habitable,14.29,4.16,0.2,0.83,1.85,0.2534624,0.2748927,0.2986487,180.8,184.4,188.3,2.8,-18.87,7.91,704.2,1.219,0.04,1.22,160.0,Lyr,G9/K0,0.79,0.76,5308.0,0.408136,-0.25,4.0,12.237222991689753,320.0,18.8838,45.0878,-25.3,0.3312,1,0,0.493,1.177,1.12,3.01,0.91,0.23,0.41,0,0,0,1,Primary Transit
Kepler-422 b,Hot,Jovian,gas,metals-rich,non-habitable,136.71,12.88,0.06,0.82,3.26,260.9665,260.9665,260.9665,1024.0,1024.0,1024.0,8.7,-28.82,24.67,7.89,0.08199999999999999,0.0,0.08,0.0,Lyr,G,1.15,1.24,5972.0,1.754739,0.23,4.205140795802378,13.6,608.4120264650286,18.842,46.3234,-32.8,8.0654,1,0,0.982,2.3040000000000003,-2.36,9.82,0.24,0.09,0.07,0,0,0,1,Primary Transit
Kepler-423 b,Hot,Jovian,gas,metals-rich,non-habitable,189.17,13.35,0.08,1.06,3.76,740.5527,769.0854,799.0210000000001,1329.0,1341.6,1354.5,15.0,-30.08,25.58,2.68,0.0358,0.02,0.04,120.3,Cyg,G,1.07,0.99,5790.0,0.988267,0.26,4.205140795802378,14.5,608.4120264650286,19.5237,46.3912,-34.0,14.7599,1,0,0.746,1.756,-2.4,9.84,0.26,0.09,0.07,0,0,0,1,Primary Transit
Kepler-424 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,327.48,9.97,0.33,3.3,5.73,363.92400000000004,363.92400000000004,363.9241,1112.8,1112.8,1112.8,108.3,-28.62,19.03,3.31,0.044000000000000004,0.0,0.04,0.0,Cyg,G,1.01,0.94,5460.0,0.704557,0.44,4.205140795802378,14.5,608.4120264650286,19.9083,48.5775,-33.2,11.4038,2,1,0.642,1.526,-2.35,6.17,1.59,0.13,0.09,0,0,0,1,Primary Transit
Kepler-424 c,Warm,Jovian,gas,hydrogen-rich,non-habitable,2216.04,11.67,1.39,16.26,13.78,1.3221180000000001,1.322119,1.322119,273.2,273.2,273.2,3087.7,-22.84,22.32,223.3,0.73,0.0,0.73,0.0,Cyg,G,1.01,0.94,5460.0,0.704557,0.44,4.205140795802378,14.5,608.4120264650286,19.9083,48.5775,-27.0,0.6862,2,1,0.642,1.526,-0.8,9.97,14.39,0.05,0.39,0,0,1,1,Radial Velocity
Kepler-430 b,Hot,Neptunian,gas,metals-rich,non-habitable,6.75,3.25,0.2,0.64,1.44,47.0964,47.09641,47.09641,667.4,667.4,667.4,1.3,-23.95,6.18,35.97,0.2244,0.0,0.22,0.0,Cyg,G,1.17,1.49,5884.0,2.371557,0.2,4.205140795802378,12.237222991689753,608.4120264650286,19.5206,49.5794,-30.9,3.5272,2,0,1.148,2.698,-2.19,2.63,-0.65,0.22,0.23,0,0,0,1,Primary Transit
Kepler-430 c,Hot,Neptunian,gas,metals-rich,non-habitable,6.75,3.25,0.2,0.64,1.44,10.480139999999999,10.480139999999999,10.480139999999999,458.4,458.4,458.4,1.3,-22.31,6.18,110.98,0.4757,0.0,0.48,0.0,Cyg,G,1.17,1.49,5884.0,2.371557,0.2,4.205140795802378,12.237222991689753,608.4120264650286,19.5206,49.5794,-29.3,1.6637,2,0,1.148,2.698,-1.87,2.63,-0.43,0.24,0.31,0,0,0,1,Primary Transit
Kepler-431 b,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.36,0.76,0.81,0.62,0.69,268.9305,268.9305,268.9306,1031.7,1031.7,1031.7,0.3,-22.69,1.45,6.8,0.0719,0.0,0.07,0.0,Lyr,F,1.07,1.09,6004.0,1.390266,0.07,4.205140795802378,12.237222991689753,608.4120264650286,18.7408,43.2278,-32.8,8.1005,3,0,0.873,2.045,-2.37,-0.18,-1.32,0.27,0.29,0,0,0,1,Primary Transit
Kepler-431 c,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.23,0.67,0.79,0.53,0.59,193.7898,193.7899,193.7899,950.6,950.6,950.6,0.2,-22.04,1.27,8.7,0.0847,0.0,0.08,0.0,Lyr,F,1.07,1.09,6004.0,1.390266,0.07,4.205140795802378,12.237222991689753,608.4120264650286,18.7408,43.2278,-32.5,6.8748,3,0,0.873,2.045,-2.34,-0.19,-1.36,0.27,0.29,0,0,0,1,Primary Transit
Kepler-431 d,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.23,1.11,0.9,1.0,1.05,127.3108,127.3108,127.3108,855.8,855.8,855.8,1.1,-22.69,2.11,11.92,0.1045,0.0,0.1,0.0,Lyr,F,1.07,1.09,6004.0,1.390266,0.07,4.205140795802378,12.237222991689753,608.4120264650286,18.7408,43.2278,-32.0,5.571000000000001,3,0,0.873,2.045,-2.31,-0.17,-1.03,0.28,0.3,0,0,0,1,Primary Transit
Kepler-432 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1720.06,16.24,0.4,6.52,10.29,47.386540000000004,126.0992,454.9946,668.4,807.5,1176.6,690.8,-28.7,31.25,52.5,0.301,0.51,0.26,65.6,Cyg,K2III,1.35,4.15,5020.0,9.81298,-0.02,3.6,13.0,874.0,19.5522,48.2858,-32.2,8.5623,1,0,2.451,5.922000000000001,-2.23,13.96,4.95,0.06,0.06,0,0,0,1,Primary Transit
Kepler-433 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,896.59,16.24,0.21,3.4,7.43,708.1683,892.9915,1142.348,1314.3,1389.0,1481.1,187.7,-30.68,31.25,5.33,0.059000000000000004,0.12,0.06,0.0,Cyg,F,2.82,1.45,6360.0,3.086414,-0.01,2.67,14.5,1870.0,19.8394,40.9772,-34.2,13.2201,1,0,1.273,2.9610000000000003,-2.44,12.44,2.12,0.07,0.06,0,0,0,1,Primary Transit
Kepler-434 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,909.31,12.66,0.45,5.68,8.48,130.5011,168.3634,221.0289,861.1,914.7,982.3,407.9,-28.31,24.23,12.88,0.1143,0.13,0.11,0.0,Cyg,G,1.2,1.38,5977.0,2.180625,0.25,4.0,12.237222991689753,1240.0,19.5724,42.9289,-32.3,6.4936,1,0,1.095,2.5669999999999997,-2.33,9.03,3.67,0.09,0.08,0,0,0,1,Primary Transit
Kepler-435 b,Hot,Jovian,gas,metals-rich,non-habitable,267.07,22.29,0.02,0.54,3.46,1194.435,1491.8629999999998,1888.0810000000001,1497.7,1579.5,1679.4,6.4,-31.93,43.38,8.6,0.0948,0.11,0.09,0.0,Cyg,F,1.54,3.21,6161.0,13.320018,-0.18,2.25,14.0,2070.0,19.4858,43.1972,-34.7,18.2403,1,0,2.676,6.247999999999999,-2.44,18.08,-0.05,0.05,0.04,0,0,0,1,Primary Transit
