,principal component 1,principal component 2,principal component 3,principal component 4,P. Habitable Class,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22
1874,-1.165806228,-0.183194771,-0.390408487,0.378387288,0,-0.108928872,-0.389763969,-0.667976241,-0.347238422,0.689841451,0.17782176,0.142668079,0.211788923,-0.439769128,-0.24546833,-0.028448793,0.445282387,-0.203080014,0.731477457,0.152749723,0.43528983,-0.256436756,0.02657461
1875,-2.683139863,1.217405436,0.473783526,0.925772468,0,-0.114841811,0.130667056,1.212390058,0.740412155,-1.546700486,0.743169021,-1.988825256,0.087954366,0.050476052,-0.110331623,-0.749138307,0.497630227,-0.328856677,0.374611414,-0.212847605,0.053689568,-0.132961842,-0.258126326
1876,-1.324224995,0.607609742,-0.036025032,-0.042701641,0,-0.532592695,-0.225849094,-0.197322235,-0.206256736,0.5194509,0.232565319,0.208157197,-0.027946046,-0.433428092,-0.329263008,-0.002456262,0.378587979,-0.051966781,0.762564375,0.105998847,0.401142131,-0.286076818,-0.302302881
1877,-0.816763919,-1.701714998,-0.472363411,-0.167252525,0,0.697675733,-0.113099571,-0.455862891,-0.387986387,-0.136609504,0.64317231,1.228910558,0.335037199,-0.709913903,-0.24222934,0.277144844,0.439589601,-0.369370401,0.776365097,0.257808713,0.446838664,-0.261970764,0.217473102
1878,-0.342624882,-3.180848551,-0.558031316,-0.540413291,0,1.884059078,0.09197566,-0.476320707,-0.410107842,-1.744448345,1.443822048,1.64503695,0.314524949,-0.609159826,0.171026518,1.407147689,-0.217065734,-0.79617545,0.558090559,0.10654648,0.587693452,-0.265732775,0.139267877
1879,-2.463147147,-0.571623108,0.412226911,0.62749959,0,-0.057910385,0.113124579,0.764989487,0.87643362,-1.469071275,-0.440389143,-1.597214467,0.403090834,0.275955347,-0.223916533,-0.625181375,1.12262106,-0.179939686,0.114529589,-0.554448495,-0.276923358,0.019847273,0.147657933
1880,-2.591165422,-1.774952775,0.080232719,0.677426949,0,0.133228794,-0.024636454,0.046103302,0.265512027,0.24894587,-0.921692172,-0.000428886,0.214465019,0.284250425,-0.427441674,-0.133697158,0.294266519,0.148420051,0.209568166,-0.315115799,0.062308259,-0.155059968,0.078980536
1881,-1.905562507,0.389600867,0.094914463,0.42848709,0,-0.304300931,0.04351683,0.140340842,-0.080060205,0.580272901,0.057670104,0.28756536,-0.259110309,-0.053739812,-0.111319961,0.093272855,-0.386152736,0.291094642,-0.657311336,-0.163456087,-0.125604911,-0.067733856,-0.123941572
1882,-1.887388274,-0.163359093,-0.032707818,0.482926297,0,-0.128770041,-0.024589738,-0.065843881,-0.171643678,0.700369539,0.058011079,0.205769281,-0.250318414,-0.016571338,-0.07212585,0.054698189,-0.343143527,0.219875998,-0.623664303,-0.181020217,-0.151364118,-0.062884126,-0.148573005
1883,-1.068604277,1.857135283,0.098491006,-0.148046608,0,-0.854834836,-0.220489415,0.003815106,-0.130761396,0.361285803,0.414743463,0.361164577,0.022110872,-0.627002005,-0.358295775,0.053139428,0.359072634,0.000185691,0.592805661,0.175710875,0.48863171,-0.20943847,-0.105564018
